12345678,Perez,Juan,1/1/1990,M,15/1/2022,ADULTO,1/6/2024,A,0/0/0
23456789,Garcia,Maria,10/5/1985,F,20/3/2021,ADULTO,15/5/2024,A,0/0/0
34567890,Rodriguez,Carlos,25/9/2000,M,28/2/2020,CADETE,20/4/2024,A,0/0/0
45678901,Lopez,Ana,15/12/1975,F,10/6/2019,ADULTO,30/3/2024,A,0/0/0
56789012,Martinez,Lucia,5/11/1995,F,23/11/2018,ADULTO,25/2/2024,A,0/0/0
67890123,Sanchez,Pedro,18/7/1960,M,14/8/2017,JUBILADO,20/1/2024,A,0/0/0
78901234,Gomez,Sofia,11/3/2005,F,1/5/2023,MENOR,1/6/2024,A,0/0/0
89012345,Diaz,Javier,22/2/1980,M,25/10/2016,ADULTO,15/4/2024,A,0/0/0
90123456,Fernandez,Laura,29/8/1992,F,5/9/2015,ADULTO,10/3/2024,A,0/0/0
53492991,Ruiz,Marta,2/12/1998,F,30/7/2014,CADETE,5/2/2020,I,5/2/2024
23918374,Barra,Isabela,1/3/1992,F,15/4/2022,ADULTO,9/3/2024,A,0/0/0
43456789,Cruz,Lila,10/5/1995,F,20/8/2021,ADULTO,15/6/2024,A,0/0/0
89967890,Ruiz,Carlos,25/9/2004,M,28/2/2021,CADETE,11/3/2024,A,0/0/0
33678901,Lopez,Juliana,15/12/1995,F,10/6/2019,ADULTO,29/1/2021,I,0/0/0
66789012,Sanchez,Karina,5/10/1999,F,23/11/2018,ADULTO,21/2/2024,A,0/0/0
18590123,Claros,Gustavo,18/9/1998,M,14/8/2017,JUBILADO,20/1/2020,I,0/0/0
71901234,Paque,Gisela,14/4/2001,F,1/6/2023,MENOR,1/4/2024,A,0/0/0
82212345,Aro,Andres,23/6/2000,M,25/12/2020,ADULTO,17/3/2024,A,0/0/0
